,Family_Assignment,MASTER_LIST,m1L,rbl,BM_all_carnivoran,BM_extant_reg,NOW_diet_2,NOW_diet_3,PPP_diet_1,PPP_diet_2
1,Ailuridae,Alopecocyon leardi,NA,NA,NA,NA,NA,NA,NA,
2,Ailuridae,Pristinailurus bristoli,12.699,0.62,10.19,6.326,omnivore,anim_dom,meat/non-vert,mesocarnivore
3,Ailuridae,Simocyon primigenius,24.941,0.713,75.654,66.261,NA,NA,meat/non-vert,mesocarnivore
4,Amphicyonidae,Adilophontes brachykolos,28.696,0.643,114.744,119.798,NA,NA,meat,mesocarnivore
5,Amphicyonidae,Amphicyon frendens,36.755,0.657,239.326,258.487,carnivore,meat,meat,hypercarnivore
6,Amphicyonidae,Amphicyon galushai,29.176,0.688,120.539,126.135,carnivore,meat,meat,hypercarnivore
7,Amphicyonidae,Amphicyon ingens,39.088,0.688,287.322,312.953,carnivore,meat,meat,hypercarnivore
8,Amphicyonidae,Amphicyon longiramus,32,0.65,158.597,168.074,NA,NA,meat/bone,hypercarnivore
9,Amphicyonidae,Amphicyon pontoni,NA,NA,NA,NA,NA,NA,NA,NA
10,Amphicyonidae,Amphicyon reinheimeri,NA,NA,NA,NA,carnivore,meat,meat,hypercarnivore
11,Amphicyonidae,Amphicyon riggsi,NA,NA,NA,NA,NA,NA,NA,NA
12,Amphicyonidae,Angelarctocyon australis,7.81,0.617,2.405,2.101,NA,NA,meat/non-vert,mesocarnivore
13,Amphicyonidae,Brachyrhynchocyon dodgei,14.2,0.73,14.2,13.464,carnivore,meat,meat,hypercarnivore
14,Amphicyonidae,Brachyrhynchocyon montanus,11.9,NA,8.402,7.775,carnivore,meat,meat,hypercarnivore
15,Amphicyonidae,Cynelos caroniavorus,15,0.6,16.711,15.963,carnivore,meat,meat,hypercarnivore
16,Amphicyonidae,Cynelos idoneus,27.382,0.659,99.832,103.563,carnivore,meat,meat,hypercarnivore
17,Amphicyonidae,Cynelos sinapius,36.14,0.619,227.628,245.284,carnivore,meat,meat,hypercarnivore
18,Amphicyonidae,Daphoenictis tedfordi,16.2,0.74,21.002,20.275,carnivore,meat_only,meat,hypercarnivore
19,Amphicyonidae,Daphoenodon (Borocyon) neomexicanus,27.295,0.675,98.893,102.544,NA,NA,meat,hypercarnivore
20,Amphicyonidae,Daphoenodon (Borocyon) niobrarensis,28.25,0.667,109.528,114.108,NA,NA,meat,hypercarnivore
21,Amphicyonidae,Daphoenodon (Borocyon) robustum,30.687,0.674,140.041,147.56,NA,NA,meat,hypercarnivore
22,Amphicyonidae,Daphoenodon falkenbachi,29.2,0.677,120.833,126.457,carnivore,meat,meat,hypercarnivore
23,Amphicyonidae,Daphoenodon minor,NA,NA,NA,NA,carnivore,meat,meat,hypercarnivore
24,Amphicyonidae,Daphoenodon notionastes,21.6,0.625,49.355,49.562,carnivore,meat,meat,hypercarnivore
25,Amphicyonidae,Daphoenodon skinneri,24.75,0.693,73.947,75.655,NA,NA,meat,hypercarnivore
26,Amphicyonidae,Daphoenodon superbus,25.805,0.675,83.707,86.132,carnivore,meat,meat,hypercarnivore
27,Amphicyonidae,Daphoenus hartshornianus,14.47,0.663,15.017,14.275,carnivore,meat,meat,hypercarnivore
28,Amphicyonidae,Daphoenus ruber,NA,NA,NA,NA,NA,NA,meat,hypercarnivore
29,Amphicyonidae,Daphoenus socialis,17.1,0.67,24.66,23.984,carnivore,meat,meat,hypercarnivore
30,Amphicyonidae,Daphoenus transversus,NA,NA,NA,NA,carnivore,meat,meat,hypercarnivore
31,Amphicyonidae,Daphoenus vetus,15.36,0.67,17.93,17.184,carnivore,meat,meat,hypercarnivore
32,Amphicyonidae,Gustafsonia cognita,NA,NA,NA,NA,NA,NA,NA,NA
33,Amphicyonidae,Ischyrocyon gidleyi,42.99,0.696,381.155,420.603,carnivore,meat,meat,hypercarnivore
34,Amphicyonidae,Mammacyon obtusidens,23.38,0.691,62.441,63.387,carnivore,m/bone,meat/bone,hypercarnivore
35,Amphicyonidae,Paradaphoenus cuspigerus,9.15,0.621,3.85,3.437,carnivore,meat,meat,hypercarnivore
36,Amphicyonidae,Paradaphoenus minimus,8.367,0.614,2.951,2.603,carnivore,meat,meat,hypercarnivore
37,Amphicyonidae,Paradaphoenus tooheyi,7.512,0.685,2.143,1.862,carnivore,meat,meat,hypercarnivore
38,Amphicyonidae,Pliocyon medius,28.568,0.67,113.233,118.148,carnivore,meat,meat,hypercarnivore
39,Amphicyonidae,Pliocyon ossifragus,NA,NA,NA,NA,NA,NA,NA,NA
40,Amphicyonidae,Pliocyon robustus,33.2,0.704,176.921,188.441,carnivore,meat,meat,hypercarnivore
41,Amphicyonidae,Temnocyon altigenis,18.225,0.665,29.798,29.234,carnivore,meat,meat,hypercarnivore
42,Amphicyonidae,Temnocyon percussor,23.48,0.709,63.237,64.233,NA,NA,meat,hypercarnivore
43,Amphicyonidae,Temnocyon typicus,NA,NA,NA,NA,NA,NA,NA,NA
44,Amphicyonidae,Ysengrinia americana,28.25,0.723,109.528,114.108,carnivore,meat,meat,hypercarnivore
45,Barbourofelidae,Barbourofelis fricki,37.612,1,256.293,451.61,carnivore,meat_only,meat,hypercarnivore
46,Barbourofelidae,Barbourofelis loveorum,32.1,NA,160.074,278.51,NA,NA,meat,hypercarnivore
47,Barbourofelidae,Barbourofelis morrisi,26.32,0.822,88.766,152.01,carnivore,meat_only,meat,hypercarnivore
48,Barbourofelidae,Barbourofelis whitfordi,24.62,1,72.799,124.002,carnivore,meat_only,meat,hypercarnivore
49,Canidae,Aelurodon asthenostylus,26.01,0.734,85.697,22.675,NA,NA,meat,hypercarnivore
50,Canidae,Aelurodon ferox,28.24,0.759,109.413,26.337,carnivore,m/bone,meat/bone,hypercarnivore
51,Canidae,Aelurodon mcgrewi,25.67,0.802,82.413,22.139,carnivore,m/bone,meat/bone,hypercarnivore
52,Canidae,Aelurodon montanensis,26.4,0.748,89.57,23.298,carnivore,m/bone,meat/bone,hypercarnivore
53,Canidae,Aelurodon stirtoni,24.69,0.765,73.415,20.625,carnivore,meat,meat,hypercarnivore
54,Canidae,Aelurodon taxoides,30.05,0.764,131.582,29.49,carnivore,m/bone,meat/bone,hypercarnivore
55,Canidae,Alopex lagopus,NA,NA,NA,NA,NA,NA,NA,NA
56,Canidae,Archaeocyon falkenbachi,NA,NA,NA,NA,NA,NA,NA,NA
57,Canidae,Archaeocyon leptodus,9.13,0.657,3.825,3.373,carnivore,meat,meat/non-vert,hypocarnivore
58,Canidae,Archaeocyon pavidus,7.65,0.65,2.262,2.445,carnivore,meat,meat/non-vert,hypocarnivore
59,Canidae,Borophagus diversidens,32.91,0.71,172.371,34.797,carnivore,m/bone,meat/bone,hypercarnivore
60,Canidae,Borophagus dudleyi,NA,NA,NA,NA,carnivore,m/bone,meat/bone,hypercarnivore
61,Canidae,Borophagus hilli,29.88,0.7,129.384,29.187,carnivore,m/bone,meat/bone,hypercarnivore
62,Canidae,Borophagus littoralis,26.5,0.67,90.582,23.459,carnivore,m/bone,meat/bone,hypercarnivore
63,Canidae,Borophagus orc,22.15,0.71,53.181,16.927,carnivore,m/bone,meat/bone,hypercarnivore
64,Canidae,Borophagus parvus,23.76,0.63,65.503,19.233,carnivore,m/bone,meat/bone,hypercarnivore
65,Canidae,Borophagus pugnator,26.88,0.67,94.494,24.075,carnivore,m/bone,meat/bone,hypercarnivore
66,Canidae,Borophagus secundus,26.92,0.758,94.912,24.14,carnivore,m/bone,meat/bone,hypercarnivore
67,Canidae,Caedocyon tedfordi,19,NA,33.721,12.804,carnivore,meat,meat,hypercarnivore
68,Canidae,Canis armbrusteri,29.54,0.758,125.06,28.586,carnivore,meat,meat,hypercarnivore
69,Canidae,Canis dirus,33.39,0.689,179.945,35.726,NA,NA,meat,hypercarnivore
70,Canidae,Canis edwardii,24.95,0.694,75.736,21.022,carnivore,meat,meat/non-vert,mesocarnivore
71,Canidae,Canis familiaris,NA,NA,NA,NA,NA,NA,NA,NA
72,Canidae,Canis ferox,19.93,0.662,38.863,13.967,carnivore,meat,meat/non-vert,mesocarnivore
73,Canidae,Canis latrans,21.16,0.643,46.428,15.575,NA,NA,meat/non-vert,mesocarnivore
74,Canidae,Canis lepophagus,20.63,0.727,43.059,14.873,carnivore,meat,meat/non-vert,mesocarnivore
75,Canidae,Canis lupus,27.6,0.646,102.212,25.261,NA,NA,meat,hypercarnivore
76,Canidae,Canis rufus,NA,NA,NA,NA,NA,NA,NA,NA
77,Canidae,Canis thooides,18.35,0.716,30.409,12.018,carnivore,meat,meat/non-vert,mesocarnivore
78,Canidae,Carpocyon compressus,20.94,0.669,45.009,15.282,omnivore,anim_dom,meat/non-vert,mesocarnivore
79,Canidae,Carpocyon limosus,NA,NA,NA,NA,omnivore,anim_dom,meat/non-vert,mesocarnivore
80,Canidae,Carpocyon robustus,23.84,0.69,66.161,19.351,omnivore,anim_dom,meat,hypercarnivore
81,Canidae,Carpocyon webbi,24.65,0.767,73.063,20.564,omnivore,anim_dom,meat,hypercarnivore
82,Canidae,Cerdocyon texanus,14.65,0.748,15.579,7.977,omnivore,anim_dom,nonvert/meat,hypocarnivore
83,Canidae,Chrysocyon nearcticus,21.49,0.714,48.612,16.02,omnivore,anim_dom,meat/non-vert,mesocarnivore
84,Canidae,Cormocyon copei,11.49,0.674,7.571,5.126,carnivore,meat,nonvert/meat,hypocarnivore
85,Canidae,Cormocyon haydeni,11.5,0.691,7.591,5.134,omnivore,anim_dom,nonvert/meat,hypocarnivore
86,Canidae,Cynarctoides acridens,8.93,0.657,3.581,3.24,omnivore,anim_dom,nonvert/meat,hypocarnivore
87,Canidae,Cynarctoides emryi,7.62,0.541,2.236,2.427,omnivore,anim_dom,meat/non-vert,mesocarnivore
88,Canidae,Cynarctoides gawnae,7.87,0.675,2.461,2.574,omnivore,anim_dom,meat/non-vert,mesocarnivore
89,Canidae,Cynarctoides harlowi,6.6,0.62,1.459,1.869,omnivore,anim_dom,meat/non-vert,mesocarnivore
90,Canidae,Cynarctoides lemur,7.38,0.64,2.033,2.29,omnivore,anim_dom,nonvert/meat,hypocarnivore
91,Canidae,Cynarctoides luskensis,7.55,0.58,2.175,2.387,omnivore,anim_dom,nonvert/meat,hypocarnivore
92,Canidae,Cynarctoides roii,6.38,0.628,1.319,1.757,omnivore,anim_dom,meat/non-vert,mesocarnivore
93,Canidae,Cynarctoides whistleri,6.67,0.631,1.505,1.905,omnivore,anim_dom,meat/non-vert,mesocarnivore
94,Canidae,Cynarctus crucidens,11.25,0.54,7.111,4.933,omnivore,anim_dom,nonvert/meat,hypocarnivore
95,Canidae,Cynarctus galushai,16.09,0.672,20.581,9.461,omnivore,anim_dom,meat/non-vert,mesocarnivore
96,Canidae,Cynarctus marylandica,NA,NA,NA,NA,omnivore,anim_dom,meat/non-vert,mesocarnivore
97,Canidae,Cynarctus saxatilis,16.68,0.58,22.905,10.102,omnivore,anim_dom,nonvert/meat,hypocarnivore
98,Canidae,Cynarctus voorhiesi,13.9,0.558,13.328,7.249,omnivore,anim_dom,nonvert/meat,hypocarnivore
99,Canidae,Cynodesmus martini,20.1,0.771,39.856,14.185,carnivore,meat,meat,hypercarnivore
100,Canidae,Cynodesmus thooides,16.13,0.711,20.734,9.504,carnivore,meat,meat,hypercarnivore
101,Canidae,Desmocyon matthewi,14.83,0.674,16.154,8.156,carnivore,meat,meat/non-vert,mesocarnivore
102,Canidae,Desmocyon thomsoni,13.73,0.677,12.849,7.089,carnivore,meat,meat/non-vert,mesocarnivore
103,Canidae,Ectopocynus antiquus,15.4,0.714,18.069,8.735,carnivore,meat_only,meat/non-vert,mesocarnivore
104,Canidae,Ectopocynus intermedius,18.7,0.743,32.164,12.438,carnivore,meat_only,meat,hypercarnivore
105,Canidae,Ectopocynus simplicidens,22.03,0.723,52.33,16.76,carnivore,meat_only,meat,hypercarnivore
106,Canidae,Enhydrocyon basilatus,24.5,0.78,71.75,20.337,carnivore,meat_only,meat,hypercarnivore
107,Canidae,Enhydrocyon crassidens,23.25,0.766,61.415,18.488,carnivore,meat_only,meat,hypercarnivore
108,Canidae,Enhydrocyon pahinsintewakpa,21.45,0.748,48.344,15.966,NA,NA,meat,hypercarnivore
109,Canidae,Enhydrocyon stenocephalus,20,0.775,39.27,14.056,carnivore,meat_only,meat,hypercarnivore
110,Canidae,Epicyon aelurodontoides,NA,NA,NA,NA,carnivore,m/bone,meat/bone,hypercarnivore
111,Canidae,Epicyon haydeni,36.25,0.883,229.691,41.49,carnivore,m/bone,meat/bone,hypercarnivore
112,Canidae,Epicyon saevus,29.09,0.718,119.487,27.798,carnivore,m/bone,meat/bone,hypercarnivore
113,Canidae,Eucyon davisi,17.07,0.68,24.532,10.536,carnivore,meat,nonvert/meat,hypocarnivore
114,Canidae,Eucyon skinneri,16.05,0.623,20.43,9.418,carnivore,meat,meat/non-vert,mesocarnivore
115,Canidae,Euoplocyon brachygnathus,18.18,0.722,29.58,11.816,NA,NA,meat,hypercarnivore
116,Canidae,Euoplocyon spissidens,16.4,0.62,21.781,9.795,carnivore,meat_only,meat,hypercarnivore
117,Canidae,Hesperocyon coloradensis,11.04,0.639,6.724,4.767,carnivore,meat,meat/non-vert,mesocarnivore
118,Canidae,Hesperocyon gregarius,9.53,0.696,4.344,3.647,carnivore,meat,meat/non-vert,hypocarnivore
119,Canidae,Leptocyon delicatus,6.3,0.735,1.271,1.717,carnivore,meat,meat/non-vert,mesocarnivore
120,Canidae,Leptocyon douglassi,8.9,0.697,3.546,3.22,carnivore,meat,meat/non-vert,mesocarnivore
121,Canidae,Leptocyon gregorii,10,0.71,5.012,3.981,carnivore,meat,meat/non-vert,mesocarnivore
122,Canidae,Leptocyon leidyi,10.63,0.683,6.009,4.449,carnivore,meat,meat/non-vert,hypocarnivore
123,Canidae,Leptocyon matthewi,13.09,0.675,11.151,6.499,carnivore,meat,meat/non-vert,mesocarnivore
124,Canidae,Leptocyon mollis,9.38,0.651,4.144,3.543,carnivore,meat,meat/non-vert,mesocarnivore
125,Canidae,Leptocyon tejonensis,11.8,0.629,8.194,5.381,carnivore,meat,meat/non-vert,mesocarnivore
126,Canidae,Leptocyon vafer,11.75,0.685,8.091,5.339,carnivore,meat,meat/non-vert,mesocarnivore
127,Canidae,Leptocyon vulpinus,10.99,0.692,6.634,4.727,carnivore,meat,meat/non-vert,mesocarnivore
128,Canidae,Mesocyon brachyops,14.63,0.709,15.516,7.957,carnivore,meat,meat,hypercarnivore
129,Canidae,Mesocyon coryphaeus,16.75,0.7,23.191,10.179,carnivore,meat,meat,hypercarnivore
130,Canidae,Mesocyon temnodon,13.78,0.678,12.989,7.136,carnivore,meat,meat/non-vert,mesocarnivore
131,Canidae,Metalopex bakeri,12.5,0.642,9.724,5.976,carnivore,meat,nonvert/meat,hypocarnivore
132,Canidae,Metalopex macconnelli,12.37,0.695,9.426,5.863,carnivore,meat,nonvert/meat,hypocarnivore
133,Canidae,Metalopex merriami,14.55,0.66,15.265,7.878,carnivore,meat,nonvert/meat,hypocarnivore
134,Canidae,Metatomarctus canavus,17.65,0.66,27.091,11.196,carnivore,meat,meat/non-vert,mesocarnivore
135,Canidae,Microtomarctus conferta,15.86,0.692,19.72,9.216,carnivore,meat,meat/non-vert,mesocarnivore
136,Canidae,Osbornodon brachypus,19.51,0.723,36.481,13.436,carnivore,meat,meat/non-vert,mesocarnivore
137,Canidae,Osbornodon fricki,28.09,0.735,107.696,26.083,carnivore,meat,meat,hypercarnivore
138,Canidae,Osbornodon iamonensis,19.93,0.681,38.863,13.967,carnivore,meat,meat/non-vert,mesocarnivore
139,Canidae,Osbornodon renjiei,12.33,0.667,9.336,5.828,carnivore,meat,nonvert/meat,hypocarnivore
140,Canidae,Osbornodon sesnoni,14.68,0.7,15.674,8.006,NA,NA,nonvert/meat,hypocarnivore
141,Canidae,Osbornodon wangi,NA,NA,NA,NA,carnivore,meat,nonvert/meat,hypocarnivore
142,Canidae,Otarocyon cooki,6.2,0.613,1.212,1.668,carnivore,meat,meat,hypocarnivore
143,Canidae,Otarocyon macdonaldi,6.2,0.661,1.212,1.668,carnivore,meat,meat,mesocarnivore
144,Canidae,Oxetocyon cuspidatus,7.63,0.6,2.244,2.433,omnivore,anim_dom,meat/non-vert,mesocarnivore
145,Canidae,Paracynarctus kelloggi,15.32,0.655,17.792,8.653,NA,NA,meat,hypocarnivore
146,Canidae,Paracynarctus sinclairi,14.7,0.67,15.737,8.026,omnivore,anim_dom,meat/non-vert,mesocarnivore
147,Canidae,Paraenhydrocyon josephi,14.46,0.71,14.986,7.789,carnivore,meat_only,meat,hypercarnivore
148,Canidae,Paraenhydrocyon robustus,15.8,0.703,19.499,9.153,carnivore,meat_only,meat,hypercarnivore
149,Canidae,Paraenhydrocyon wallovianus,19.83,0.71,38.287,13.84,carnivore,meat_only,meat,hypercarnivore
150,Canidae,Paratomarctus euthos,20.34,0.644,41.286,14.494,carnivore,meat,meat/non-vert,mesocarnivore
151,Canidae,Paratomarctus temerarius,18.74,0.704,32.369,12.486,carnivore,meat,meat/non-vert,mesocarnivore
152,Canidae,Philotrox condoni,18.28,0.733,30.066,11.934,carnivore,meat,meat,hypercarnivore
153,Canidae,Phlaocyon achoros,8.5,0.651,3.093,2.962,omnivore,anim_dom,nonvert/meat,hypocarnivore
154,Canidae,Phlaocyon annectens,6,0.63,1.099,1.571,omnivore,anim_dom,nonvert/meat,hypocarnivore
155,Canidae,Phlaocyon latidens,8.23,0.651,2.81,2.793,omnivore,anim_dom,nonvert/meat,hypocarnivore
156,Canidae,Phlaocyon leucosteus,9.76,0.69,4.663,3.809,omnivore,anim_dom,nonvert/meat,hypocarnivore
157,Canidae,Phlaocyon mariae,NA,NA,NA,NA,omnivore,anim_dom,nonvert/meat,hypocarnivore
158,Canidae,Phlaocyon marslandensis,11.2,0.58,7.017,4.893,omnivore,anim_dom,nonvert/meat,hypocarnivore
