,Family_Assignment,MASTER_LIST,m1L,rbl,BM_all_carnivoran,BM_extant_reg,NOW_diet_2,NOW_diet_3,PPP_diet_1,PPP_diet_2
342,Mustelidae,Leptarctus progressus,NA,NA,NA,NA,omnivore,plant_dom,meat/non-vert,mesocarnivore
343,Mustelidae,Leptarctus supremus,NA,NA,NA,NA,omnivore,plant_dom,meat/non-vert,mesocarnivore
344,Mustelidae,Leptarctus webbi,11.4,0.465,7.396,4.345,omnivore,plant_dom,meat/non-vert,mesocarnivore
345,Mustelidae,Leptarctus woodburnei,11.4,0.518,7.396,4.345,omnivore,plant_dom,meat/non-vert,mesocarnivore
346,Mustelidae,Leptarctus wortmani,11.1,0.558,6.833,3.96,omnivore,plant_dom,meat/non-vert,mesocarnivore
347,Mustelidae,Lutra piscinaria,NA,NA,NA,NA,NA,NA,NA,NA
348,Mustelidae,Martes buwaldi,9.9,0.73,4.864,2.66,NA,NA,meat/non-vert,mesocarnivore
349,Mustelidae,Martes foxi,NA,NA,NA,NA,carnivore,meat,meat/non-vert,mesocarnivore
350,Mustelidae,Martes glarera,NA,NA,NA,NA,NA,NA,NA,NA
351,Mustelidae,Martes nambianus,NA,NA,NA,NA,NA,NA,NA,NA
352,Mustelidae,Martes parviloba,9.016,0.673,3.685,1.921,NA,NA,meat/non-vert,mesocarnivore
353,Mustelidae,Martes stirtoni,NA,NA,NA,NA,carnivore,meat,meat,hypercarnivore
354,Mustelidae,Megalictis ferox,20.461,0.718,42.018,33.266,carnivore,m/bone,meat/bone,hypercarnivore
355,Mustelidae,Megalictis frazieri,16.1,0.658,20.619,14.446,NA,NA,meat,hypercarnivore
356,Mustelidae,Megalictis simplicidens,16.4,NA,21.781,15.405,NA,NA,meat,hypercarnivore
357,Mustelidae,Miomustela madisonae,5.1,0.686,0.678,0.264,carnivore,meat,meat,hypercarnivore
363,Mustelidae,Mustela erminea,5.14,0.641,0.694,0.272,NA,NA,meat,hypercarnivore
364,Mustelidae,Mustela frenata,5.94,0.68,1.067,0.45,carnivore,meat,meat,hypercarnivore
365,Mustelidae,Mustela meltoni,5.6,0.69,0.896,0.366,carnivore,meat,meat,hypercarnivore
366,Mustelidae,Mustela nigripes,8.84,0.689,3.475,1.793,NA,NA,meat,hypercarnivore
367,Mustelidae,Mustela nivalis,4.24,0.57,0.392,0.139,NA,NA,meat,hypercarnivore
368,Mustelidae,Mustela parvus,NA,NA,NA,NA,carnivore,meat,meat,hypercarnivore
369,Mustelidae,Mustela rexroadensis,4.59,0.74,0.496,0.183,carnivore,meat,meat,hypercarnivore
370,Mustelidae,Mustela zibellina americana,NA,NA,NA,NA,NA,NA,NA,NA
371,Mustelidae,Mustelavus priscus,5.7,0.6,0.944,0.389,carnivore,meat,meat/non-vert,mesocarnivore
372,Mustelidae,Neovison vison,8.52,0.634,3.115,1.577,NA,NA,meat,hypercarnivore
373,Mustelidae,Oligobunis crassivultus,13.7,0.767,12.766,8.237,carnivore,meat,meat,mesocarnivore
374,Mustelidae,Oligobunis floridanus,16.4,0.669,21.781,15.405,carnivore,meat,meat,mesocarnivore
375,Mustelidae,Palaeogale dorothiae,4.92,0.67,0.61,0.233,carnivore,meat,meat,hypercarnivore
376,Mustelidae,Palaeogale minuta,NA,NA,NA,NA,NA,NA,NA,NA
377,Mustelidae,Palaeogale sanguinarius,NA,NA,NA,NA,carnivore,meat,meat,hypercarnivore
378,Mustelidae,Palaeogale sectoria,NA,NA,NA,NA,carnivore,meat,meat,hypercarnivore
379,Mustelidae,Paroligobunis petersoni,NA,NA,NA,NA,carnivore,meat,meat,hypercarnivore
380,Mustelidae,Pekania pennanti,12.08,0.672,8.785,5.316,NA,NA,meat/non-vert,mesocarnivore
381,Mustelidae,Plesiogulo lindsayi,27.1,0.705,96.81,88.457,carnivore,m/bone,meat/bone,hypercarnivore
382,Mustelidae,Plesiogulo marshalli,24,0.687,67.488,57.961,carnivore,m/bone,meat/bone,hypercarnivore
383,Mustelidae,Plionictis buwaldi,NA,NA,NA,NA,carnivore,meat,meat/non-vert,mesocarnivore
384,Mustelidae,Plionictis gazini,NA,NA,NA,NA,carnivore,meat,meat/non-vert,mesocarnivore
385,Mustelidae,Plionictis kinseyi,4.2,0.602,0.381,0.135,carnivore,meat,meat/non-vert,mesocarnivore
386,Mustelidae,Plionictis ogygia,6.7,0.653,1.526,0.684,carnivore,meat,meat/non-vert,mesocarnivore
387,Mustelidae,Plionictis oregonensis,8.1,0.619,2.68,1.323,NA,NA,meat/non-vert,mesocarnivore
388,Mustelidae,Pliotaxidea garberi,9.4,0.595,4.171,2.221,omnivore,anim_dom,meat/non-vert,mesocarnivore
389,Mustelidae,Pliotaxidea nevadensis,9.5,0.474,4.304,2.304,omnivore,anim_dom,meat/non-vert,mesocarnivore
390,Mustelidae,Promartes darbyi,NA,NA,NA,NA,carnivore,meat,meat/non-vert,mesocarnivore
391,Mustelidae,Promartes gemmarosae,NA,NA,NA,NA,carnivore,meat,meat/non-vert,mesocarnivore
392,Mustelidae,Promartes lepidus,8.7,0.545,3.314,1.696,carnivore,meat,meat/non-vert,mesocarnivore
393,Mustelidae,Promartes olcotti,NA,NA,NA,NA,carnivore,meat,meat/non-vert,mesocarnivore
394,Mustelidae,Promartes vantasselensis,NA,NA,NA,NA,NA,NA,meat/non-vert,mesocarnivore
396,Mustelidae,Schultzogale inexpecta,NA,NA,NA,NA,NA,NA,NA,NA
397,Mustelidae,Sminthosinis bowleri,9.4,0.649,4.171,2.221,carnivore,meat,meat,hypercarnivore
398,Mustelidae,Sthenictis bellus,NA,NA,NA,NA,carnivore,meat,meat,hypercarnivore
399,Mustelidae,Sthenictis campestris,NA,NA,NA,NA,carnivore,meat,meat,hypercarnivore
400,Mustelidae,Sthenictis dolichops,16.9,0.662,23.814,17.102,carnivore,meat,meat,hypercarnivore
401,Mustelidae,Sthenictis junturensis,12.7,0.59,10.193,6.328,carnivore,meat,meat,hypercarnivore
402,Mustelidae,Sthenictis lacota,18.5,NA,31.153,23.429,carnivore,meat,meat,hypercarnivore
403,Mustelidae,Sthenictis robustus,NA,NA,NA,NA,carnivore,meat,meat,hypercarnivore
404,Mustelidae,Taxidea taxus,13.3,0.568,11.691,7.43,omnivore,anim_dom,meat/non-vert,mesocarnivore
405,Mustelidae,Trigonictis cookii,9.1,0.532,3.788,1.984,NA,NA,meat/non-vert,mesocarnivore
406,Mustelidae,Trigonictis macrodon,14.8,0.677,16.057,10.777,carnivore,meat,meat,hypercarnivore
407,Mustelidae,Zodiolestes daimonelixensis,12.3,0.71,9.269,5.661,NA,NA,meat,hypercarnivore
408,Mustelidae,Zodiolestes freundi,NA,NA,NA,NA,NA,NA,NA,NA
409,Nimravidae,Dinaelurus crassus,NA,NA,NA,NA,carnivore,meat_only,meat,hypercarnivore
410,Nimravidae,Dinictis felina,17.638,0.821,27.036,44.84,carnivore,meat_only,meat,hypercarnivore
411,Nimravidae,Hoplophoneus cerebralis,14.11,NA,13.935,22.702,NA,NA,NA,NA
412,Nimravidae,Hoplophoneus occidentalis,21.726,0.927,50.215,84.681,carnivore,meat_only,meat,hypercarnivore
413,Nimravidae,Hoplophoneus primaevus,17.724,0.909,27.429,45.509,carnivore,meat_only,meat,hypercarnivore
414,Nimravidae,Hoplophoneus strigidens,NA,NA,NA,NA,NA,NA,NA,NA
415,Nimravidae,Nanosmilus kurteni,14.84,NA,16.187,26.477,carnivore,meat_only,meat,hypercarnivore
416,Nimravidae,Nimravus brachyops,24.142,0.841,68.681,116.805,carnivore,meat_only,meat,hypercarnivore
417,Nimravidae,Pogonodon davisi,22.949,0.872,59.082,100.073,carnivore,meat_only,meat,hypercarnivore
418,Nimravidae,Pogonodon platycopis,24.496,0.882,71.715,122.107,NA,NA,meat,hypercarnivore
419,Oxyaenidae,Ambloctonus major,NA,NA,NA,NA,NA,NA,NA,NA
420,Oxyaenidae,Ambloctonus priscus,NA,NA,NA,NA,NA,NA,NA,NA
421,Oxyaenidae,Ambloctonus sinosus,NA,NA,NA,NA,NA,NA,NA,NA
422,Oxyaenidae,Apataelurus kayi,15.488,0.989,18.377,18.377,NA,NA,meat,hypercarnivore
423,Oxyaenidae,Dipsalidictis aequidens,11.699,0.624,7.987,7.987,NA,NA,NA,NA
424,Oxyaenidae,Dipsalidictis krausei,NA,0.612,NA,NA,NA,NA,NA,NA
425,Oxyaenidae,Dipsalidictis platypus,8.805,0.557,3.434,3.434,NA,NA,NA,NA
426,Oxyaenidae,Dipsalidictis transiens,13.55,0.559,12.355,12.355,NA,NA,NA,NA
427,Oxyaenidae,Dipsalodon churchillorum,12.754,0.595,10.322,10.322,NA,NA,NA,NA
428,Oxyaenidae,Dipsalodon matthewi,NA,NA,NA,NA,NA,NA,NA,NA
429,Oxyaenidae,Machaeroides eothen,NA,NA,NA,NA,NA,NA,NA,NA
430,Oxyaenidae,Machaeroides simpsoni,7.11,NA,1.82,1.82,NA,NA,NA,NA
431,Oxyaenidae,Malfelis badwaterensis,NA,NA,NA,NA,NA,NA,NA,NA
432,Oxyaenidae,Oxyaena forcipata,21.235,0.68,46.922,46.922,NA,NA,NA,NA
433,Oxyaenidae,Oxyaena gulo,13.751,0.655,12.907,12.907,NA,NA,NA,NA
434,Oxyaenidae,Oxyaena intermedia,17.219,0.668,25.172,25.172,NA,NA,NA,NA
435,Oxyaenidae,Oxyaena lupina,14.845,0.702,16.203,16.203,NA,NA,NA,NA
436,Oxyaenidae,Oxyaena pardalis,NA,0.72,NA,NA,NA,NA,NA,NA
437,Oxyaenidae,Oxyaena simpsoni,NA,NA,NA,NA,NA,NA,NA,NA
438,Oxyaenidae,Palaeonictis occidentalis,10.818,0.68,6.33,6.33,NA,NA,NA,NA
439,Oxyaenidae,Palaeonictis peloria,13.305,0.785,11.704,11.704,NA,NA,NA,NA
440,Oxyaenidae,Patriofelis ferox,22.411,0.967,55.064,55.064,NA,NA,NA,NA
441,Oxyaenidae,Patriofelis ulta,18.401,0.944,30.66,30.66,NA,NA,meat,hypercarnivore
442,Oxyaenidae,Tytthaena lichna,5.883,0.555,1.037,1.037,NA,NA,NA,NA
443,Oxyaenidae,Tytthaena parrisi,6.198,0.517,1.211,1.211,NA,NA,NA,NA
444,Procyonidae,Acheronictis webbi,NA,NA,NA,NA,carnivore,meat,meat/non-vert,mesocarnivore
445,Procyonidae,Amphictis schlosseri,NA,NA,NA,NA,omnivore,anim_dom,nonvert/meat,hypocarnivore
446,Procyonidae,Arctonasua eurybates,15.2,0.493,17.381,11.825,omnivore,anim_dom,nonvert/meat,hypocarnivore
447,Procyonidae,Arctonasua floridana,15.1,0.533,17.044,11.557,omnivore,anim_dom,nonvert/meat,hypocarnivore
448,Procyonidae,Arctonasua fricki,NA,NA,NA,NA,omnivore,anim_dom,nonvert/meat,hypocarnivore
449,Procyonidae,Arctonasua gracilis,13.7,0.458,12.766,8.237,omnivore,anim_dom,nonvert/meat,hypocarnivore
450,Procyonidae,Arctonasua minima,11.9,0.567,8.402,5.045,omnivore,anim_dom,nonvert/meat,hypocarnivore
451,Procyonidae,Bassaricyonoides phyllismillerae,8.1,0.519,2.68,1.323,NA,NA,nonvert/meat,hypocarnivore
452,Procyonidae,Bassaricyonoides stewartae,NA,NA,NA,NA,omnivore,anim_dom,nonvert/meat,hypocarnivore
453,Procyonidae,Bassariscus antiquus,7,0.629,1.738,0.796,omnivore,anim_dom,meat/non-vert,mesocarnivore
454,Procyonidae,Bassariscus astutus,7.82,0.59,2.414,1.17,NA,NA,meat/non-vert,mesocarnivore
455,Procyonidae,Bassariscus casei,7.4,0.649,2.049,0.966,omnivore,anim_dom,meat/non-vert,mesocarnivore
456,Procyonidae,Bassariscus lycopotamicus,NA,NA,NA,NA,NA,NA,meat/non-vert,mesocarnivore
457,Procyonidae,Bassariscus minimus,6.2,0.66,1.212,0.522,omnivore,anim_dom,meat/non-vert,mesocarnivore
458,Procyonidae,Bassariscus ogallalae,7,0.571,1.738,0.796,omnivore,anim_dom,meat/non-vert,mesocarnivore
459,Procyonidae,Bassariscus parvus,6.8,0.632,1.594,0.72,omnivore,anim_dom,meat/non-vert,mesocarnivore
460,Procyonidae,Edaphocyon lautus,NA,NA,NA,NA,omnivore,anim_dom,meat/non-vert,mesocarnivore
461,Procyonidae,Edaphocyon palmeri,NA,NA,NA,NA,NA,NA,NA,NA
462,Procyonidae,Edaphocyon pointblankensis,NA,NA,NA,NA,omnivore,anim_dom,NA,NA
463,Procyonidae,Nasua narica,NA,NA,NA,NA,NA,NA,NA,NA
464,Procyonidae,Nasua pronarica,NA,NA,NA,NA,omnivore,anim_dom,NA,NA
465,Procyonidae,Paranasua biradica,NA,NA,NA,NA,omnivore,anim_dom,NA,NA
466,Procyonidae,Parapotos tedfordi,8.9,0.483,3.546,1.836,NA,NA,meat/non-vert,mesocarnivore
467,Procyonidae,Probassariscus matthewi,7.5,0.52,2.133,1.012,omnivore,anim_dom,meat/non-vert,mesocarnivore
468,Procyonidae,Procyon lotor,12.7,0.518,10.193,6.328,omnivore,anim_dom,Minimal meat,hypocarnivore
469,Procyonidae,Procyon rexroadensis,NA,NA,NA,NA,omnivore,anim_dom,NA,NA
470,Procyonidae,Protoprocyon savagei,7.4,0.597,2.049,0.966,omnivore,anim_dom,meat/non-vert,mesocarnivore
471,Ursidae,Agriotherium gregoryi,NA,NA,NA,NA,NA,NA,NA,NA
472,Ursidae,Agriotherium schneideri,42.9,NA,378.79,114.79,carnivore,meat,meat/non-vert,mesocarnivore
473,Ursidae,Allocyon loganensis,14.5,0.48,15.11,67.464,carnivore,meat,meat/non-vert,mesocarnivore
474,Ursidae,Arctodus pristinus,26.68,0.59,92.421,90.956,omnivore,anim_dom,meat/non-vert,mesocarnivore
475,Ursidae,Arctodus simus,33.85,0.645,187.408,102.208,NA,NA,meat/non-vert,mesocarnivore
476,Ursidae,Hemicyon barbouri,29.5,NA,124.558,95.546,carnivore,meat,meat,hypercarnivore
477,Ursidae,Indarctos oregonensis,NA,NA,NA,NA,carnivore,meat,NA,NA
480,Ursidae,Parictis dakotensis,8.795,0.63,3.423,52.805,carnivore,meat,meat/non-vert,mesocarnivore
481,Ursidae,Parictis gilpini,7.84,0.657,2.433,49.913,carnivore,meat,meat/non-vert,mesocarnivore
482,Ursidae,Parictis major,10.73,0.648,6.178,58.209,carnivore,meat,meat/non-vert,mesocarnivore
483,Ursidae,Parictis montanus,7.7,0.632,2.306,49.474,carnivore,meat,meat/non-vert,mesocarnivore
484,Ursidae,Parictis parvus,6.4,0.609,1.332,45.189,carnivore,meat,meat/non-vert,mesocarnivore
485,Ursidae,Parictis personi,NA,NA,NA,NA,carnivore,meat,NA,NA
486,Ursidae,Parictis primaevus,NA,NA,NA,NA,carnivore,meat,NA,NA
487,Ursidae,Phoberocyon johnhenryi,34,0.677,189.886,102.429,carnivore,meat,meat,hypercarnivore
488,Ursidae,Phoberogale shareri,NA,NA,NA,NA,carnivore,meat,NA,NA
489,Ursidae,Plionarctos edensis,NA,NA,NA,NA,omnivore,anim_dom,meat/non-vert,mesocarnivore
490,Ursidae,Plithocyon barstowensis,29,NA,118.392,94.749,carnivore,meat,meat/non-vert,mesocarnivore
491,Ursidae,Plithocyon ursinus,35.4,NA,214.062,104.475,NA,NA,meat/non-vert,mesocarnivore
492,Ursidae,Tremarctos floridanus,20.8,0.428,44.121,80.51,omnivore,anim_dom,Minimal meat,hypocarnivore
493,Ursidae,Ursavus brevirhinus,14.3,NA,14.499,67.006,omnivore,anim_dom,meat/non-vert,mesocarnivore
494,Ursidae,Ursavus pawniensis,NA,NA,NA,NA,omnivore,anim_dom,meat/non-vert,mesocarnivore
495,Ursidae,Ursavus primaevus,NA,NA,NA,NA,omnivore,anim_dom,meat/non-vert,mesocarnivore
496,Ursidae,Ursus abstrusus,20.7,0.63,43.494,80.32,omnivore,anim_dom,meat/non-vert,mesocarnivore
497,Ursidae,Ursus americanus,18.65,0.477,31.909,76.319,NA,NA,Minimal meat,hypocarnivore
498,Ursidae,Ursus arctos,25.55,0.616,81.274,89.047,NA,NA,meat/non-vert,mesocarnivore
499,Viverravidae,Bryanictis microlestes,4.627,0.554,0.508,0.508,carnivore,meat,meat/non-vert,mesocarnivore
500,Viverravidae,Didymictis altidens,12.731,0.53,10.268,10.268,carnivore,meat,meat/non-vert,mesocarnivore
501,Viverravidae,Didymictis dellensis,8.533,0.635,3.129,3.129,NA,NA,meat/non-vert,mesocarnivore
502,Viverravidae,Didymictis protenus,10.415,0.542,5.655,5.655,carnivore,meat,meat/non-vert,mesocarnivore
503,Viverravidae,Didymictis vancleveae,18.488,0.558,31.093,31.093,NA,NA,meat/non-vert,mesocarnivore
504,Viverravidae,Ictidopappus mustelinus,3.835,0.645,0.291,0.291,carnivore,meat,meat/non-vert,mesocarnivore
505,Viverravidae,Intyrictis vanvaleni,4.314,0.571,0.413,0.413,carnivore,meat,meat/non-vert,mesocarnivore
506,Viverravidae,Protictis agastor,7.673,0.574,2.282,2.282,carnivore,meat,meat/non-vert,mesocarnivore
507,Viverravidae,Protictis haydenianus,7.832,0.589,2.426,2.426,carnivore,meat,meat/non-vert,mesocarnivore
508,Viverravidae,Protictis paralus,4.403,0.676,0.438,0.438,carnivore,meat,meat/non-vert,mesocarnivore
509,Viverravidae,Protictoides aprophatos,NA,NA,NA,NA,NA,NA,NA,NA
510,Viverravidae,Raphictis gausion,3.898,0.625,0.305,0.305,carnivore,meat,meat/non-vert,mesocarnivore
511,Viverravidae,Simpsonictis jaynanneae,NA,NA,NA,NA,carnivore,meat,meat/non-vert,mesocarnivore
512,Viverravidae,Simpsonictis pegus,3.964,0.545,0.321,0.321,carnivore,meat,meat/non-vert,mesocarnivore
513,Viverravidae,Simpsonictis tenuis,3.016,0.64,0.143,0.143,carnivore,meat,meat/non-vert,mesocarnivore
514,Viverravidae,Viverravus acutus,4.555,0.571,0.485,0.485,carnivore,meat,meat/non-vert,mesocarnivore
515,Viverravidae,Viverravus gracilis,5.317,0.602,0.768,0.768,carnivore,meat,meat/non-vert,mesocarnivore
516,Viverravidae,Viverravus laytoni,3.62,0.594,0.245,0.245,NA,NA,meat/non-vert,mesocarnivore
517,Viverravidae,Viverravus lutosus,4.62,0.604,0.506,0.506,carnivore,meat,meat/non-vert,mesocarnivore
518,Viverravidae,Viverravus minutus,4.521,0.577,0.474,0.474,carnivore,meat,meat/non-vert,mesocarnivore
519,Viverravidae,Viverravus politus,6.114,0.698,1.162,1.162,carnivore,meat,meat/non-vert,mesocarnivore
520,Viverravidae,Viverravus schaffi,5.658,0.653,0.923,0.923,NA,NA,meat/non-vert,mesocarnivore
521,Viverravidae,Viverravus sicarius,NA,0.662,NA,NA,carnivore,meat,meat/non-vert,mesocarnivore