Genus,species,Locality,Time,Specimen,Spec. age,HI,M3 width,M3 height,Mrow length
Anchitherium,clarendonensis,GC8D,18,ANCHC-A,3.5,1.07,1.00,1.07,6.43
Anchitherium,sp.,Myers Farm,11.5,20986,3,1.17,1.06,1.24,6.05
Archaeohippus,blackbergi,GC8D,18,AHIPB-A,5,0.70,0.53,0.37,2.85
Archaeohippus,blackbergi,GC8D,18,AHIPB-C,3,1.43,0.49,0.70,3.32
Astrohippus,ansae,Ft-40,6.5,4957,4,6.58,0.98,6.45,
Astrohippus,ansae,Guymon LF,5.5,GUY62-2232,3,6.04,1.15,6.95,
Astrohippus,ansae,Guymon LF,5.5,GUY36-1177,2.5,6.89,0.90,6.20,
Calippus,martini,Gallup Gulch,9,125134,,5.87,0.86,5.05,
Calippus,placidus,Devil's Gulch,11.5,114084,4,5.09,0.82,4.17,4.92
Calippus,placidus,Railway Q. A,11.5,11--10-34,2.5,6.53,0.59,3.85,
Calippus,placidus,Hazard Homestead,11.5,2036-74,2.5,5.62,0.69,3.88,
Calippus,placidus,Hollow Horn Bear Q.,10.5,,,5.92,0.83,4.91,
Cormohipparion,occidentale,"Ogallala, TX",10.5,73903,2.5,6.27,0.83,5.20,6.90
Cormohipparion,sp.,,,CHIPP-A,3.5,5.60,0.84,4.70,
Cormohipparion,sphenodus,Nenzel Q.,11.5,AINS 413-233,2.5,4.76,0.85,4.05,6.64
Cormohipparion,sphenodus,Nenzel Q.,11.5,71888,2.5,4.62,0.95,4.39,6.76
Dinohippus,interpolatus,Edson Q.,5.5,127979,3,5.85,1.36,7.95,
Dinohippus,leidyanus,Poison Ivy Q.,10,DHIPL-A,5,4.16,1.25,5.20,7.49
Equus,simplicidens,Broadwater Q.,2,22396,,5.89,1.40,8.25,
Equus,simplicidens,Broadwater Q.,2,22400,,6.13,1.35,8.28,
Equus,simplicidens,Broadwater Q.,2,22399,,7.00,1.15,8.05,
Equus,simplicidens,Sand Draw LF,2,,3,7.63,1.15,8.77,
Hipparion,tehonense,Leptarctus A,10.5,AINS 371-125,,8.72,0.43,3.75,
Hypohippus,affinis,Pojoaque,13,ESP399-1842,3.5,1.67,1.09,1.82,7.57
Hypohippus,affinis,Burge Q.,11,50571,2,1.52,1.36,2.07,
Hypohippus,affinis,,,1-15-7-29-C,3,1.69,1.48,2.50,9.23
Hypohippus,giganteum,Xmas Q.,9,60510,3,1.18,1.38,1.63,9.62
Hypohippus,giganteum,Xmas Q.,9,60518,2.5,1.28,1.75,2.24,
Hypohippus,giganteum,Xmas Q.,9,60519,,1.65,1.54,2.54,
Hypohippus,osborni,Norden Bridge Q.,13,84207,3,1.06,1.23,1.30,
Hypohippus,osborni,Myers Farm,11.5,21620B,4,0.65,1.15,0.75,7.04
Hypohippus,sp.,Jamber Farm,12,2553-65,3,1.42,1.12,1.59,7.33
Hypohippus,sp.,Devil's Gulch,11.5,60566,3,1.79,1.08,1.93,7.92
Megahippus,matthewi,Burge Q.,11,60700/1,,1.28,1.37,1.76,8.85
Megahippus,matthewi,Burge Q.,11,AINS 801-30,2.5,2.18,1.23,2.68,
Megahippus,mckennai,Cornell Dam,11.5,104951,3.5,1.35,1.48,2.00,8.80
Megahippus,sp.,Pawnee Creek,13,60723,3.5,1.49,1.14,1.70,7.62
Megahippus,sp.,Pawnee Creek,13,60724,3,1.94,1.08,2.09,7.92
Megahippus,sp.,Jamber Farm,11.5,2361-65,3,1.10,1.47,1.62,
Megahippus,sp.,West Valentine Q.,11.5,100702,3,1.40,1.31,1.83,
Merychippus,calamarius,Tesuque,13,128154,3,3.15,0.81,2.55,6.23
Merychippus,coloradense,"Tesuque, Chama-El Rito",13,69500,3.5,4.99,0.89,4.44,6.19
Merychippus,insignis,Echo Q.,15,111791,,3.81,0.80,3.05,
Merychippus,insignis,Norden Bridge Q.,13,85047,3,4.10,0.68,2.79,
Merychippus,insignis,Norden Bridge Q.,13,85036,3,2.92,0.78,2.28,
Merychippus,insignis,Norden Bridge Q.,13,85057,3,4.23,0.77,3.26,
Merychippus,insignis,Norden Bridge Q.,13,85041,3,4.45,0.77,3.43,
Merychippus,insignis,Carrot Top Q.,13,84430,2,4.49,0.81,3.64,
Merychippus,insignis,Hazard Homestead,11.5,91071,3.5,3.54,0.79,2.80,5.74
Merychippus,insignis,Hazard Homestead,11.5,90646,3,3.94,0.65,2.56,5.37
Merychippus,primus,Thomson Q.,16.5,111089,,3.83,0.58,2.22,
Merychippus,republicanus,Norden Bridge Q.,13,84174,3.5,4.70,0.71,3.34,
Merychippus,republicanus,Norden Bridge Q.,13,84175,2.5,6.00,0.66,3.96,
Merychippus,republicanus,Norden Bridge Q.,13,84172,3.5,4.78,0.80,3.82,
Merychippus,republicanus,Jamber Farm,11.5,9870,4,2.20,1.72,3.78,
Merychippus,republicanus,Myers Farm,11.5,,,4.94,0.98,4.84,
Merychippus,republicanus,Hazard Homestead,11.5,311-82,4,3.47,0.86,2.98,6.16
Merychippus,sp.,Gallup Gulch,9,356-1366,3.5,3.75,0.72,2.70,
Merychippus,sp.,Gallup Gulch,9,356-1366,3,3.14,0.92,2.89,
Merychippus,tertius,Thomson Q.,16.5,111833,,3.51,0.73,2.56,
Merychippus,tertius,Thomson Q.,16.5,111825,,3.54,0.70,2.47,
Nannippus,ingenuus,Pratt Q.,10.5,,,3.59,0.96,3.45,
Nannippus,ingenuus,Pratt Q.,10.5,,,4.12,0.91,3.75,
Nannippus,lenticularis,Edson Q.,5.5,127969,,5.85,1.02,5.97,
Nannippus,peninsulatus,"St. David, AZ",3.5,BEN-18-50-SD,,8.43,0.82,6.91,
Nannippus,sp.,GC11A,9,NANNL-A,3.5,5.25,0.56,2.94,5.43
Neohipparion,affine,McAdams Q.,10.5,132561,,6.73,0.77,5.18,
Neohipparion,eurystyle,Arens Q,7.5,KAN 11-41,,6.05,0.94,5.69,
Neohipparion,eurystyle,Ft-40,6.5,2635,4,4.88,0.48,2.34,6.88
Neohipparion,eurystyle,Ft-40,6.5,,2,5.58,0.99,5.52,
Neohipparion,trampasense,Xmas-Kat LF,9,AINS 825-119,,4.35,0.88,3.83,
Neohipparion,trampasense,Xmas-Kat LF,9,AINS 825-119,,3.62,1.10,3.98,
Neohipparion,trampasense,Xmas-Kat LF,9,NHIPT-A,4.5,4.10,0.96,3.94,6.23
Parahippus,cognatus,Norden Bridge Q.,13,90531,3,3.17,0.84,2.66,
Parahippus,cognatus,Carrot Top Q.,13,90170,2,3.03,0.69,2.09,
Parahippus,cognatus,Myers Farm,11.5,,,2.36,0.78,1.84,
Parahippus,cognatus,Hazard Homestead,11.5,2865-82,2.5,3.69,0.80,2.95,
Parahippus,leonensis,GC8D,18,PHIPL-D,3.5,2.02,0.59,1.19,4.74
Parahippus,leonensis,GC8D,18,PHIPL-E,5,1.24,0.78,0.97,4.80
Parahippus,leonensis,GC8D,18,PHIPL-F,4,1.38,0.79,1.09,5.00
Pliohippus,mirabilis,Devil's Gulch Horse Q.,11.5,125806,3,5.73,0.74,4.24,
Pliohippus,mirabilis,Hazard Homestead,11.5,1068-79,1,5.78,0.79,4.57,
Pliohippus,pernix,Burge Q.,11,119137,2.5,4.51,1.00,4.51,
Pliohippus,supremus,Gordon Creek,11,4-9-8-28,3,6.64,0.85,5.64,
Protohippus,"""floblairi""",Ashbrook R.,16.5,13085,,5.34,0.67,3.58,
Protohippus,perditus,Norden Bridge Q.,13,90118,2.5,5.14,0.77,3.96,
Protohippus,perditus,Norden Bridge Q.,13,90119,3.5,3.93,0.87,3.42,
Protohippus,perditus,Norden Bridge Q.,13,90120,3,4.53,0.86,3.90,
Protohippus,perditus,Jamber Farm,11.5,9832,1,5.65,0.71,4.01,
Protohippus,perditus,Jamber Farm,11.5,9819,3,5.05,0.84,4.24,6.57
Protohippus,perditus,West Valentine Q.,11.5,2480-87,2,4.94,0.80,3.95,
Protohippus,perditus,West Valentine Q.,11.5,3061-93,2,5.51,0.77,4.24,
Protohippus,perditus,Hazard Homestead,11.5,2694-82,1,3.49,0.75,2.62,
Protohippus,supremus,Merritt Dam,9,125278,3.5,12.92,0.49,6.33,
Pseudhipparion,gratum,Cap Rock,10.5,70012,2.5,6.49,0.65,4.22,5.48
Pseudhipparion,gratum,Poison Ivy Q.,10,27846,3,5.88,0.74,4.35,5.70
Pseudhipparion,gratum,Poison Ivy Q.,10,69603,3.5,3.07,0.98,3.01,5.57
Pseudhipparion,retrusum,Burge Q.,11,119059,,5.56,0.81,4.50,
Pseudhipparion,retrusum,Burge Q.,11,70364,,6.13,0.71,4.35,
Pseudhipparion,skinneri,Xmas Q.,9,114206,,4.91,0.75,3.68,